,pclass,sex,age,sibsp,parch,fare,embarked,boat,survived
0,1,0,29.0,0,0,211.3375,2,10,1
1,1,1,0.9167,1,2,151.55,2,2,1
5,1,1,48.0,0,0,26.55,2,11,1
6,1,0,63.0,1,0,77.9583,2,1,1
8,1,0,53.0,2,0,51.4792,2,25,1
11,1,0,18.0,1,0,227.525,0,12,1
12,1,0,24.0,0,0,69.3,0,20,1
13,1,0,26.0,0,0,78.85,2,16,1
14,1,1,80.0,0,0,30.0,2,22,1
17,1,0,50.0,0,1,247.5208,0,16,1
18,1,0,32.0,0,0,76.2917,0,18,1
19,1,1,36.0,0,0,75.2417,0,21,0
20,1,1,37.0,1,1,52.5542,2,13,1
21,1,0,47.0,1,1,52.5542,2,13,1
22,1,1,26.0,0,0,30.0,0,13,1
23,1,0,42.0,0,0,227.525,0,12,1
24,1,0,29.0,0,0,221.7792,2,18,1
26,1,1,25.0,1,0,91.0792,0,17,1
27,1,0,19.0,1,0,91.0792,0,17,1
28,1,0,35.0,0,0,135.6333,2,18,1
29,1,1,28.0,0,0,26.55,2,25,1
31,1,1,40.0,0,0,31.0,0,17,1
32,1,0,30.0,0,0,164.8667,2,18,1
33,1,0,58.0,0,0,26.55,2,18,1
35,1,0,45.0,0,0,262.375,0,12,1
36,1,0,22.0,0,1,55.0,2,16,1
41,1,0,44.0,0,0,27.7208,0,16,1
42,1,0,59.0,2,0,51.4792,2,25,1
43,1,0,60.0,0,0,76.2917,0,18,1
44,1,0,41.0,0,0,134.5,0,11,1
47,1,1,42.0,0,0,26.2875,2,13,1
48,1,0,53.0,0,0,27.4458,0,16,1
49,1,1,36.0,0,1,512.3292,0,11,1
50,1,0,58.0,0,1,512.3292,0,11,1
54,1,1,11.0,1,2,120.0,2,12,1
55,1,0,14.0,1,2,120.0,2,12,1
56,1,1,36.0,1,2,120.0,2,23,1
57,1,0,36.0,1,2,120.0,2,12,1
61,1,0,76.0,1,0,78.85,2,16,1
63,1,0,47.0,1,0,61.175,2,12,1
64,1,1,27.0,1,0,53.1,2,13,1
65,1,0,33.0,1,0,53.1,2,13,1
66,1,0,36.0,0,0,262.375,0,12,1
67,1,0,30.0,0,0,86.5,2,18,1
68,1,1,45.0,0,0,29.7,0,17,1
72,1,0,26.0,1,0,136.7792,0,12,1
73,1,0,22.0,0,0,151.55,2,2,1
76,1,0,39.0,1,1,83.1583,0,7,1
78,1,0,64.0,0,2,83.1583,0,7,1
79,1,0,55.0,2,0,25.7,2,10,1
82,1,0,36.0,0,2,71.0,2,17,1
83,1,0,64.0,1,1,26.55,2,17,1
85,1,0,38.0,1,0,71.2833,0,12,1
86,1,1,51.0,0,0,26.55,2,15,1
87,1,1,27.0,0,0,30.5,2,11,1
88,1,0,33.0,0,0,151.55,2,18,1
90,1,0,27.0,1,2,52.0,2,11,1
91,1,1,31.0,1,0,57.0,2,11,1
92,1,0,17.0,1,0,57.0,2,11,1
93,1,1,53.0,1,1,81.8583,2,4,1
94,1,1,4.0,0,2,81.8583,2,13,1
95,1,0,54.0,1,1,81.8583,2,13,1
97,1,0,27.0,1,1,247.5208,0,16,1
98,1,0,48.0,1,0,106.425,0,10,1
99,1,0,48.0,1,0,39.6,0,0,1
100,1,1,49.0,1,0,56.9292,0,0,1
102,1,0,23.0,0,1,83.1583,0,17,1
103,1,0,38.0,0,0,227.525,0,12,1
104,1,0,54.0,1,0,78.2667,0,12,1
109,1,1,36.0,0,0,26.3875,2,13,1
111,1,0,24.0,3,2,263.0,2,1,1
112,1,0,28.0,3,2,263.0,2,1,1
113,1,0,23.0,3,2,263.0,2,1,1
116,1,0,60.0,1,4,263.0,2,1,1
117,1,0,30.0,0,0,56.9292,0,0,1
119,1,1,50.0,2,0,133.65,2,13,1
120,1,1,43.0,1,0,27.7208,0,13,1
122,1,0,22.0,0,2,49.5,0,13,1
123,1,1,60.0,1,1,79.2,0,13,1
124,1,0,48.0,1,1,79.2,0,13,1
127,1,0,35.0,1,0,53.1,2,25,1
129,1,0,35.0,0,0,211.5,0,12,1
130,1,0,22.0,0,1,59.4,0,17,1
131,1,0,45.0,0,1,59.4,0,17,1
133,1,1,49.0,1,0,89.1042,0,13,1
136,1,1,53.0,0,0,28.5,0,22,1
137,1,0,19.0,0,0,30.0,2,11,1
139,1,0,58.0,0,1,153.4625,2,11,1
140,1,1,23.0,0,1,63.3583,0,17,1
141,1,0,45.0,0,1,63.3583,0,17,1
143,1,1,25.0,1,0,55.4417,0,13,1
144,1,0,25.0,1,0,55.4417,0,13,1
145,1,1,48.0,1,0,76.7292,0,11,1
146,1,0,49.0,1,0,76.7292,0,11,1
149,1,0,35.0,1,0,83.475,2,25,1
151,1,1,27.0,0,0,76.7292,0,11,1
153,1,0,24.0,0,0,83.1583,0,17,1
155,1,0,52.0,1,1,93.5,2,11,1
159,1,0,16.0,0,1,57.9792,0,12,1
160,1,0,44.0,0,1,57.9792,0,12,1
161,1,0,51.0,1,0,77.9583,2,1,1
163,1,0,35.0,1,0,52.0,2,18,1
164,1,1,35.0,0,0,26.55,0,8,1
165,1,1,38.0,1,0,90.0,2,25,1
167,1,0,35.0,1,0,90.0,2,25,1
170,1,1,49.0,0,0,0.0,2,23,1
177,1,1,42.0,1,0,52.5542,2,13,1
178,1,0,45.0,1,0,52.5542,2,13,1
180,1,0,39.0,0,0,211.3375,2,10,1
181,1,0,49.0,0,0,25.9292,2,18,1
182,1,0,30.0,0,0,106.425,0,10,1
183,1,1,35.0,0,0,512.3292,0,11,1
186,1,0,55.0,0,0,27.7208,0,16,1
187,1,0,16.0,0,1,39.4,2,20,1
188,1,0,51.0,0,1,39.4,2,20,1
190,1,0,21.0,0,0,77.9583,2,1,1
193,1,0,15.0,0,1,211.3375,2,10,1
195,1,0,16.0,0,0,86.5,2,18,1
198,1,0,18.0,1,0,53.1,2,1,1
199,1,0,24.0,0,0,49.5042,0,16,1
202,1,1,36.0,0,0,26.2875,2,17,1
207,1,0,33.0,1,0,90.0,1,7,1
208,1,0,37.0,1,0,90.0,1,7,1
209,1,1,30.0,1,0,57.75,0,2,1
213,1,0,31.0,1,0,113.275,0,16,1
214,1,0,23.0,1,0,113.275,0,16,1
216,1,0,19.0,0,2,26.2833,2,13,1
218,1,0,39.0,0,0,108.9,0,18,1
220,1,0,22.0,0,1,61.9792,0,13,1
227,1,0,22.0,1,0,66.6,2,18,1
229,1,0,17.0,1,0,108.9,0,18,1
230,1,0,30.0,0,0,93.5,2,11,1
231,1,1,52.0,0,0,30.5,2,16,1
233,1,0,56.0,0,1,83.1583,0,17,1
238,1,0,43.0,0,1,211.3375,2,10,1
240,1,1,45.0,0,0,26.55,2,20,1
242,1,0,33.0,0,0,27.7208,0,2,1
245,1,0,33.0,0,0,86.5,2,18,1
247,1,0,54.0,1,0,59.4,0,16,1
249,1,1,13.0,2,2,262.375,0,12,1
250,1,0,18.0,2,2,262.375,0,12,1
251,1,0,21.0,2,2,262.375,0,12,1
253,1,0,48.0,1,3,262.375,0,12,1
255,1,0,24.0,0,0,69.3,0,20,1
257,1,0,35.0,1,0,57.75,0,2,1
258,1,0,30.0,0,0,31.0,0,12,1
259,1,1,34.0,0,0,26.55,2,17,1
260,1,0,40.0,0,0,153.4625,2,11,1
261,1,1,35.0,0,0,26.2875,2,13,1
263,1,0,39.0,1,0,55.9,2,2,1
264,1,1,56.0,0,0,35.5,0,11,1
265,1,1,28.0,0,0,35.5,2,17,1
270,1,0,18.0,1,0,60.0,2,16,1
271,1,1,24.0,1,0,82.2667,2,17,1
272,1,0,23.0,1,0,82.2667,2,17,1
273,1,1,6.0,0,2,134.5,0,11,1
274,1,1,45.0,1,1,134.5,0,11,1
275,1,0,40.0,1,1,134.5,0,11,1
278,1,1,32.0,0,0,30.5,0,11,1
